Admiral,15,UK
Ahtanum,7,US
Amarillo,9.5,US
Apollo,17,US
Aquila,6.5,US
Banner,10,US
Bramling Cross,6,UK
Bravo,15.5,US
Brewer's Gold,7.75,UK
Bullion,7.75,UK
Cascade,5.75,US
Centennial,10.5,US
Citra,12,US
Challenger,7.5,UK
Chinook,12,US
Cluster,7,US
Columbus,15,US
Crystal,3,US
El Dorado,15,US
Eroica,12,US
East Kent Golding,5,UK
Falconers Flight,10.75,US
First Gold,7.5,UK
Fuggles,4.75,UK
Galena,12,US
Glacier,5.6,US
Galaxy,14.2,Australia
Golding,5,UK
Green Bullet,12.5,New Zealand
Hallertauer,4.25,Germany
Horizon,12,US
Liberty,4,US
Magnum,12,German
Motueka,7.5,New Zealand
Mosaic,12,US
Mt. Hood,6,US
Northdown,8.5,UK
Northern Brewer,9,Germany
Nugget,10,US
Pacific Gem,14.25,New Zealand
Palisade,7.5,US
Pearle,9.2,Germany
Pride of Ringwood,9.25,Australia
Progress,6,UK
Saaz,4.5,Czech Rep
Santiam,6,US
Spalt,4.5,German
Sorachi Ace,12,US
Sterling,7.5,US
Strisselspalt,4,France
Simcoe,13,US
Styrian Goldings,4.7,Slovenia
Styrian Bobek,5.25,Slovenia
Super Alpha,11,New Zealand
Target,11,UK
Tettnanger,4.5,Germany
Tradition,6,Germany
Tomahawk,15,US
Vanguard,5.75,US
Warrior,15.5,US
Willamette,5,US
Whitbread Golding,6.5,UK
Zeus,15,US
Zythos,11.25,US
