Categorty,Identifier,Name,Low Attentuation,High Attenuation,Floculation,Low Temp,High Temp,Alcohol Tollerance
Belgian,WLP570,Belgian Golden Ale,73,78,1,68,75,3
Belgian,WLP510,Belgian Bastogne Ale,74,80,3,66,72,3
Ale,WLP001,California Ale,73,80,3,68,73,3
Belgian,WLP530,Abbey Ale,75,80,4,66,72,3
Belgian,WLP500,Trappist Ale,75,80,2,65,72,3
Ale,WLP005,British Ale,67,74,5,65,70,1
Ale,WLP041,Pacific Ale,65,70,5,65,70,1
Ale,WLP017,Whitbread Ale,67,73,5,66,70,1
Belgian,WLP320,American Hefe Ale,70,75,1,65,69,1
Belgian,WLP351,Bavarian Weizen Ale,73,77,1,66,70,1
Belgian,WLP380,Hefeweizen IV Ale,73,80,1,66,70,1
Belgian,WLP300,Hefeweizen Ale,72,76,1,68,72,1
Lager,WLP830,German Lager,74,79,3,50,55,1
Lager,WLP840,American Lager,75,80,3,50,55,1
Lager,WLP850,Copenhagen Lager,72,78,3,50,58,1
Lager,WLP940,Mexican Lager,70,78,3,50,55,1
Ale,WLP011,European Ale,65,70,3,65,70,1
Ale,WLP029,German Ale/Kolsh,72,78,3,65,69,1
Ale,WLP036,Dusseldorf Alt Ale,65,72,3,65,69,1
Ale,WLP013,London Ale,67,75,3,66,71,1
Ale,WLP026,Premium Bitter Ale,70,75,3,67,70,1
Ale,WLP023,Burton Ale,69,75,3,68,73,1
Belgian,WLP565,Belgian Saison Ale,65,75,3,68,75,1
Lager,WLP800,Pilsner Lager,72,77,4,50,55,1
Lager,WLP802,Czech Budejovice Lager,75,80,4,50,55,1
Lager,WLP838,Southern German Lager,68,76,4,50,55,1
Ale,WLP022,Essex Ale,71,76,4,66,70,1
Ale,WLP051,California Ale V,70,75,4,70,75,1
Belgian,WLP400,Belgian Wit Ale,74,78,2,67,74,1
Belgian,WLP410,Belgain Wit II Ale,70,75,2,67,74,1
Ale,WLP008,East Coast Ale,70,75,2,68,73,1
Ale,WLP002,English Ale,63,70,5,65,68,1
Lager,WLP810,San Fransisco Lager,65,70,5,58,65,2
Lager,WLP833,German Bock Lager,70,76,3,48,55,2
Lager,WLP920,Old Bavarian Lager,66,73,3,50,55,2
Lager,WLP820,Oktoberfest/Marzen,65,73,3,52,58,2
Ale,WLP028,Edinburgh Scottish Ale,70,75,3,65,70,2
Belgian,WLP550,Belgain Ale,78,85,3,68,78,2
Ale,WLP004,Irish Ale,69,74,4,65,68,2
Ale,WLP007,Dry English Ale,70,80,4,65,70,2
Lager,WLP885,Zurich Lager,70,80,3,50,55,4
Ale,WLP099,Super High Gravity Ale,80,80,3,65,69,4
